id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
62714,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,3593585.47,3593585.47,104.86483422636606,11.561507597941345
62717,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
63035,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
63048,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,545967.45,545967.45,104.86483422636606,11.561507597941345
63050,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
65138,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,97733020.94,97733020.94,104.86483422636606,11.561507597941345
66052,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,56274.45,56274.45,104.86483422636606,11.561507597941345
66798,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
68366,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,558341706.3,558341706.3,104.86483422636606,11.561507597941345
73302,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,71421.58,71421.58,104.86483422636606,11.561507597941345
85342,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,83517308.8,83517308.8,104.86483422636606,11.561507597941345
85382,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
